model,q,acc,f1
MedSigLIP-448,2,0.756,0.442
MedSigLIP-448,3,0.752,0.427
MedSigLIP-448,4,0.727,0.488
MedSigLIP-448,5,0.739,0.5
MedSigLIP-448,6,0.727,0.504
MedSigLIP-448,8,0.756,0.554
MedSigLIP-448,9,0.748,0.552
MedSigLIP-448,10,0.761,0.578
MedSigLIP-448,11,0.769,0.586
MedSigLIP-448,12,0.756,0.561
MedSigLIP-448,16,0.718,0.173
RAD-DINO,2,0.684,0.176
RAD-DINO,3,0.688,0.315
RAD-DINO,4,0.73,0.448
RAD-DINO,5,0.722,0.468
RAD-DINO,6,0.726,0.435
RAD-DINO,8,0.696,0.507
RAD-DINO,9,0.717,0.481
RAD-DINO,10,0.726,0.488
RAD-DINO,11,0.730,0.508
RAD-DINO,12,0.743,0.520
RAD-DINO,16,0.747,0.524
ViT-patch32-cls,2,0.71,0.104
ViT-patch32-cls,3,0.697,0.0
ViT-patch32-cls,4,0.702,0.184
ViT-patch32-cls,5,0.71,0.289
ViT-patch32-cls,6,0.735,0.422
ViT-patch32-cls,8,0.739,0.446
ViT-patch32-cls,9,0.739,0.446
ViT-patch32-cls,10,0.752,0.478
ViT-patch32-cls,11,0.739,0.492
ViT-patch32-cls,12,0.727,0.444
ViT-patch32-cls,16,0.744,0.52
